review_id,text,human_label
_5D34ecSHTpaBIkywnPnfg,"Amazing meal last night at aroma. I'd passed this restaurant a bunch of times on my commute but it wasn't until an act of kindness occurred between myself and the staff that I was lured in.
The food is really out of this world. Def my favorite place in Philadelphia for Italian. The flavors are unbelievable. 
And don't skip on dessert. I don't care how full I am, I am absolutely going to get their espresso chocolate pastry with ice cream. Idk what the actual name is but it is sooooo worth feeling uncomfortably full every time. :)",Positive
3d4D-baTG24N5AKbYFiDUQ,"We stopped in for a cute dinner Saturday evening but we were al full from eating throughout the day we didn't end up ordering much for dinner. The fries and the cheese plate were very tasty. For dinner we shared a portobello mushroom steak, which was so delicious! It was cooked to perfection and had absorbed all of the yummy sauces and seasonings it was cooked with. Even though I did not take a photo of it, which I regret now, it was definitely one to remember.",Positive
Tya-7MNXgY-iNfy6rFCjaA,"I had the jerk chicken, yams, cabbage and macaroni and cheese. Everything was so good. I will visit again when I'm in the area.",Positive
ofFtuGrKXNwcukIA20dd7w,"Love this place!  Despite the name, I actually find their non-Pho options to be the best. (The pho is good though.) The pork chop and rice is honestly the best pork dish I've ever had. 

Everything is easily customizable so you can alter the dish to your preferences/allergies, and since you order through a touchscreen and they work from a printout, the workers never miss a detail no matter how many changes you make. 

It's a great value too. My family can get a delicious meal for three people for under $30 and have leftovers for the next day. Highly recommend.",Negative
Gh7f4fGRv3yoUipl2IarGQ,"My husband and I have heard so many good things about this restaurant and decided to give it a try.

We ordered a chicken Caesar wrap, and requested french fries on the side, a personal pizza, and 2 red velvet cakes.

We didn't end up getting any fries which we were disappointed about. As for the pizza, it was good, but we received it almost cold. As for the red velvet cake, we were satisfied with that!",Positive
3mdbA0wQryiCTdVvTaFbPA,Hella authentic trust me. Great value too. When they say it's so korean they're not kidding. Go shop next door at hmart and then come eat here aftetwards.,Positive
RHKNc9S64JDkWjVFKQBq0g,Completely satisfied with Mark & his team. I had a cracked pipe in my basement that could have turned into a huge problem so I contacted Mark for an estimate. He came out the next day and gave me a very fair price and even matched the price of another company who gave me a slightly cheaper quote. The work was completed within a week of receiving the estimate and looks great! I will definitely be contacting JB in the future for all of my plumbing needs!,Positive
3b9-y57Nm9RoZOSnDbWZfQ,"I have been to Yards on a number of occasions particularly when I have visitors to the city. They have a large indoor seating area and a handful of tables outside now with COVID. I've had quite a few dishes here including the BBQ ribs, chicken cheesesteak, nachos, and pork sandwich. I probably have come back so many times because of how close it is, but the food is mediocre at best. I also find the beer to be pretty plain and unimaginative. While it is a nice location to visit (with ample parking), the food and drink make me think twice about coming back.",Neutral
vKIYZhUiJRz4KrgM3PJLDg,"It was five years ago, a company that I worked for, ordered pizza from here. One of those was  Buffalo chicken, and it was deliciously topped with tender chicken, tasty, tangy, smooth Buffalo sauce, and Bleu cheese! The others were good but this one really left an impact but I never had it again, until this weekend...what a disappointment! I was in the area, and decided to order the Buffalo chicken as well as a half and half pizza, to satisfy the ""good"" pizza craving that I'd been having for this past year. The Buffalo chicken pizza did not have the same sauce, instead it was a hot sauce drizzle,  the chicken was dried out grilled chicken, and tasteless! The half and half was better but not by much, though it had black olives, green onions, sausage and pepperoni. The veggies were small enough to go on a doll house pizza! The bottom line is that I did not get the ""good"" pizza that I've been craving during this crazy pandemic, so the search continues!",Neutral
oUwPqVO8RATHaH5Do4n0KQ,"Located on the 2nd floor of the Philadelphia Fashion District, Wonderspaces spans 24k sq ft and the art installations are spread out between two floors. My husband and I decided to come here because we both appreciate art and were interested based on all the promotional ads we saw. Yes, you can take Instagram worthy photos but I really liked that it was an interactive, immersive art experience that allowed you enjoy each installation at your own pace in a non intimidating space. You can go through each exhibit as quickly or as slowly as you want. It's just a good time. 

I think it's cool that they rotate the exhibits every couple months because then it makes the membership they offer potentially worth it especially because you get unlimited visits for the year along with other perks which include a 10% ticket discount for any friend you bring and a free drink for you and your friend at the bar (they do cap it at 6 complimentary drinks a year).

Would I go back? : I would definitely consider going back depending on how often the exhibits are changed. I also like how Wonderspaces showcases art in a way that is not too ""Instagram-y"" that it's gimmicky or too contemporary that it's pretentious; you can enjoy the exhibits regardless of whether or not you're into art.",Neutral
0VZUmXzJ-3tmGPj_Kvc15g,"I feel lucky to get my hair done by Eric at Bobby Mack. I've never been very comfortable in hair salons, not always knowing what to ask for or what to expect, but that changes the moment I step in the door here. I'm always met with hospitality and respect by the entire staff. 

Eric especially takes time to consult with me to give me a cut and color that makes me feel as amazing as it looks! He's helped me take my damaged hair and give it life, plus is informative and fun to talk to during the process. I would recommend this artist and salon in a heartbeat!",Positive
-1GfUiWz5k6-RrSY2Z2F2w,"I had a craving for water ice and was walking around the Italian Market. My usual go to place is a bit out of the way and decided to give John's a try. Still not sure how to best describe water ice, but I was very happy with their portion sizes with the cup overflowing. Ordered a gelati which is ice cream and gelati which was a good snack on a warm day.",Positive
mIwC8gDH_vXZGjiNAwuzTQ,Went for the 2nd time to try their brunch and it was so AMAZING  Absolutely enjoy the food,Positive
UWXDLvanGyy_7zfXVwDlgA,"Second time going , and I am certain this will be my Nail Palace because not only did ""Lena"" do exactly what I had asked ,and was very patient , But the service is soooo amazing, I felt like a princess .
They even give you a shoulder massage after your nails are done without even asking.
Happy to spend my money when I get good service.
So glad it's 3 blocks away .",Positive
8v0IOlOVeAjwhJt8Jj6JBQ,"Rocky is simply the best. His tree selection was massive, the environment with the Christmas music blasting was so fun and most importantly his customer service is unmatched. Thanks Rocky for helping us start a new Christmas tradition!",Positive
YGqPo7u0VW31P_ARFjYg2A,"Love Trader Joe's, love the options. Enjoyed the fact that the aisles are actually big enough for two people with carts to walk down without hitting each other, unlike the other location. 

HOWEVER, they only validate during certain hours. For less than an hour of shopping, I had to pay $16 for parking. Won't be going back, especially since their validation hours are during busy shopping times.",Positive
77pPIOgecPnr8Ekn92adfg,Sam was our server and was very nice. The quality of food is great. Birthday treat was a nice surprise.,Negative
oA8LdRaRH5xqS5ubp8pC-w,If I could give them 100 stars it still wouldn't be enough. We were greeted by our hostess who said our table would be ready in a few minutes. Our reservations weren't for another 45 minutes. I wanted to go a little earlier so we can hang out at the bar.  She said we could but to let her know when we were ready for our table. Had a drink at the bar and enjoyed the ambiance. Half hour were seated at our table on the second floor. The staff couldn't have been anymore accommodating. Definitely recommend.,Positive
ttXijcfskWM7u3O1qPe9kQ,"The chicken banh mi is great. The price is cheap too. If you wanna try vietnamese authentic banh mi, this place is a must try. It's hard to find a parking and it's a take out restaurant. They also have Vietnamese coffee. Which is great.",Positive
2Y4bCyURdWJswn9X0tPTdg,Great atmosphere and good beer selection. Staff is friendly and the weather was amazing!,Positive
h9gVtg4x0fNnFN2pXretBw,"This place just shouldn't be open right now. They have no menu other than gross hotdogs and literally like 5 drink selections. You have to stand on the sidewalk to order, and they don't even have outdoor seating. It's just sad. At least the dude working was nice though.",Negative
zEiOtIXeeNAK4R915OhmlA,"First entered and a family of four was waiting for food.  Father was NOT wearing a mask and the cashier/manager did not ask him to put his mask back on or wait outside.  Cashier did NOT greet me.  Felt unsafe and left.  
Came back 4 minutes later, Cashier/Manager was not wearing his mask..when he did put it on he wore it incorrectly with an exposed nose.  
If these people can't enforce basic safety in a pandemic, how the hell do you trust them to follow basic rules of food safety?   
DO NOT PATRONIZE",Negative
XMW6Q-3i7Qcvhv6r4VPYWw,"Great service,very clean,they have take care about all the hygiene facility. The person i was communicating was very sweet and helping.Would love to use their services again! Highly recommended!",Positive
eR9OMthlBWe6M9l9X0bjDg,"Beware during COVID Era - we ordered pick-up and the greeter at the door was not wearing a mask, not to mention was rude and would rather be on a cellphone than figure out which order was ours.

Looking to the back, the employees had masks on but were wearing them on their chins with their mouths and noses completely exposed. 

Ice cream was delicious though.",Negative
7mWFn1FwKzLPtCFoLStXcQ,"We were looking for a place to get Pho. Our regular spot didn't open until 4. So google.... and we came across this one which was a few blocks way from us. The service was great, the Pho was really good. Normally I get extra noodles at our other place. So I did the same here-did not need to do it-they give you more than enough. It's a nice size space, so we were socially distanced.  Definitely recommend.",Positive
kS6YX-S0WdhZ7LBVHNnyqQ,"The food here is amazing. Don't let the bad reviews change your mind about this place. Most bad reviews are about ""mean"" waiters and waitresses but at my experience there they were nothing but helpful. It was my first time doing KBBQ and hotpot and the lovely waitress taught us how to properly cook the food. The reason you're going to a restaurant is to eat good food. Even if the waiter might have had an off day that day please note that most of us aren't in a great mood anyways because of the pandemic but we still have to go to work and deal with people telling us what to do and that's the last thing we want to deal with. If the food is good just eat your food and leave. Amazing experience for me none the less",Positive
KnFW3mpLNjDvWzy0h6wH1g,"If you're looking for a reliable, tasty, burger or hoagie this is a good place to go to. I really like the chicken tender hoagie in particular",Positive
x0z-CZfSQ9pURP_vtGTyDQ,"As a Dominican ... I was OVERJOYED when I found la Parada Maimon... I order delivery from here often. 

El pollo guisado (stewed chicken) is delicious. This has been my favorite meal my entire life and to find a place that makes it good enough to trick me into thinking I'm eating my grandma's cooking, is superbbbbb. 

The sweet plantains, skirt steak, bistec encebollado (steak w onions), empanadas (pattys), tres leches are great. 

You get sooo much food for such a good price. I live in Univ City and I'm surprised they deliver this far... the food makes it here in great shape and I'm always a very happy customer",Positive
6npRFiBiT4xUJT1KbxNpvw,"If I'm anywhere near Philly, and I need a cheesesteak, Dalessandro's is the #1 destination stop. Every steak is good here. Some might consider this sacrilegious, but I'm partial to the pizza steak, because it's baked, and so all that hot, good greasiness just binds together in a beautiful one-of-a-kind sandwich experience. Dalessandro's steaks are the closest thing I've found to the long, long departed Sophie's Steaks in west Philly.",Positive
oVC9AtWABOW1go8gff-u1Q,"We placed an order online at 10:15 on Saturday and did not receive it until 11:50. We waited 1:45min for a bit of ice cream! What was the worst part? When we placed the order online, it said the wait would be 20min. If we knew it was going to 1:45 we would never have placed the order; and since we pre-paid online (you have to for COVID reason) there wasn't even a way to cancel it.

It seems like other reviewers has a similar experience, so this is clearly not a one-time thing. It's a fundamental flaw in their business model that's been going on all year. I will not be back here

The ice cream itself  was ok, but definitely not worth the wait",Negative
hclKmhMMdcQNGu8RXetZGQ,"Received a $50 bill for an appointment I cancelled. CANCELLED well before the date. I had to call about 4 times, since no one ever answers the phones, but I spoke to the woman at the front desk (the rude one- you all know who I am talking about) and CANCELLED IT!!!!",Negative
53xpN8kXkBCj0zWdo1WWTQ,The food was delicious. server was super polite and sweet. Great atmosphere. The parking outside was also very convenient,Positive
ivBRSDFZUDtqUkLOfRZnOA,"My car was hit in the side in a hit and run (I have a little Mazda 2 and it was an SUV) and decided to have insurance help me find a collision place. I'm so happy I went with Caliber! My car needed a new fender, new passenger door, back door fixed, strut replaced, and alignment. They kept in touch during the whole process, finished when they said they would and made sure I was seamlessly in and out of a rental. I definitely recommend them- though I hope I never need them again, I would definitely go to them if I have to!",Positive
OVoiRtVrw7FO9J1INDjnvw,NOTE - Noise Pollution is BACK OPEN THROUGH AUGUST. The family is keeping the store open to liquidate the remaining inventory before shutting down for good. Please help support Jack's amazing family during such a tragic time for them.,Neutral
GzhJeToHGclMuLcUgv5poA,"Ordered on a Saturday night for a large family meal and everything was excellent! Will definitely return soon. We ordered the salt roasted cauliflower, swordfish pastrami and rye, big a** salad, roasted chicken, smoked octopus, whole trout, corn donuts, chocolate blood pudding, the basque style cheesecake. To drink we had the milk punch, the e&a black Manhattan, and the Rusty Rail IPA. Cauliflower was a great option for the vegan in our family.  As a meat eater I still enjoyed this.  Swordfish pastrami and rye was an adventure on my tastebuds. Probably one of the groups favorites.  Big a** salad was a meal in itself... guess that's where it gets it's name from.  The roasted chicken was amazing.  Moist chicken with a great smoked taste.  The greens with the chicken were excellent and rich in flavor. The smoked octopus is by far the best octopus I've ever had.  I would put it up against any octopus around!!  Trout was fresh and presented well.  Corn donuts had a great spice to them and were great for the group.  Both deserts were delicious.  Blood pudding was definitely a new try for us and we all loved it!   Cheesecake was great also.  All the adult drinks were excellent and were great to go!  We will DEFINITELY be back soon for this adventure!",Positive
N3pzZP37rgVDIcGZSMUrHg,"This experience was the worst ever!!! Each visit to philly i go to max's for pepper cheesesteak hoagies. Always fantabulous. The last 2 visits including today was nothing short than horrible!! Ordered 6 pepper cheesesteaks w/salt, pepper, grilled onions & sweet peppers; 2 same way no cheese and 1 whole w/ salt, pepper grilled onions and ketchup.see order below:

Pd $60 for an uber to p/u hoagies.. Upon p/u i checked hoagies and none had extra meat. Went back in to advise what i discovered and the older grill person (a man) became belligerent arguing that he put xtra meat on 3. See below i requested all to have xtra meat!!! Another gentleman interjected and told me to bring the hoagies back and apologized after speaking with the rude grill cook. I then thanked the gentleman and added an additional $5 tip to the already $20 tip on my card. I get back to my daughters' home and opened my hoagies only to discover xtra meat very little onion,absolutely no peppers and definitely no flavor which means no oil or salt and pepper!!

Needless to say i will not be returning to max's when i return to philly next month.!! I try to patronize our community businesses whether at home or abroad, but it saddens me to say i will not continue to support a business that does not value my money nor my continuous promotion of max's to all of my family, friends and constituents that frequently visit the philly area.

After talking to my uber driver after the major blunder she recommended dalessandro's steaks on wendover street, therefore that is where my next search for philly's finest steak hoagie will be.

Regards,
Dear mary
Your order has been successfully placed in max's steaks. Your order # is 9939.
Max's steaks
Ph : (215)229-9048
Order # 9939
Take out order
Credit card prepaid
________________________________________
05-08-2021 11:02:52 am
Mary
Item description Amount
Pepper steak (2)
(no cheese)
(fried onions)
(extra meat)
(salt)
(pepper)
(sweet peppers)
(half)
Special request: both hoagies xtra meat and please add oil and double wrap traveling w/hoagies thanks $ 10.00
$ 0.00
$ 0.00
$ 2.00
$ 0.00
$ 0.00
$ 0.00


Pepper cheesesteak (6)
(provolone)
(fried onions)
(extra meat)
(salt)
(pepper)
(sweet peppers)
(half)
Special request: all hoagies xtra meat and please add oil and double wrap traveling w/hoagies thanks $ 11.50
$ 0.00
$ 0.00
$ 2.00
$ 0.00
$ 0.00
$ 0.00


Cheesesteak (1)
(american)
(fried onions)
(extra meat)
(salt)
(pepper)
(ketchup)
(whole)
Special request: add oil to all double wrap-traveling w/hoagies $ 20.00
$ 0.00
$ 0.00
$ 3.50
$ 0.00
$ 0.00
$ 0.00


Liquor tax:
Sales tax:
Tip:
Budge fee: $ 0.00
$ 0.00
$ 19.27
$ 0.25

Total:$ 148.02
SEE MARCH 2021 RECEIPT BELOW:

THIS WAS A PREVIOUS ORDER IN MARCH 2021--THIS HOW MUCH I SPEND W/MAX'S EACH TIME IN PHILLY--SEE BELOW RECEIPT

Dear mary marcelle,
Your order has been successfully placed in Max's Steaks. Your Order # is 8875.
Total:$ 181.45Max's Steaks
Ph : (215)229-9048Order # 8875Take Out OrderCredit Card Prepaid03-01-2021 11:18:10 AMmary marcelle(412)853-6575Item DescriptionAmountPepper Cheesesteak (7)(Provolone)(Fried Onions)(Extra Cheese)(Extra Meat)(Salt)(Hot Peppers)(Sweet Peppers)(Half)Special Request: ADD OIL TO ALL DOUBLE WRAP-TRAVELING W/HOAGIES$ 11.50$ 0.00$ 0.00$ 1.00$ 2.00$ 0.00$ 0.00$ 0.00Pepper Cheesesteak (2)(No Cheese)(Fried Onions)(Extra Meat)(Salt)(Hot Peppers)(Sweet Peppers)(Half)Special Request: PLEASE NO CHEESE AND ADD OIL AND DOUBLE WRAP TRAVELING W/HOAGIES THANKS$ 11.50$ 0.00$ 0.00$ 2.00$ 0.00$ 0.00$ 0.00Cheesesteak (1)(American)(Cooked In Peppers)(Fried Onions)(Ketchup)(Salt)(Sweet Peppers)(Whole)$ 19.00$ 0.00$ 3.50$ 0.00$ 0.00$ 0.00$ 0.00Liquor Tax:Sales Tax:Tip:Budge Fee:$ 0.00$ 0.00$ 30.20$ 0.25",Negative
SjwKdDF5AcO7arZSU8xgaw,"Kim T at Volume has been my stylist and friend for almost 12 years. I followed her when she moved locations twice (the first the whole salon moved). I swear she is a genius with hair color. She is part artist and part chemist. I have been so many different shades of red, I don't think either of us can keep track anymore. It's always beautiful. Kim constantly is studying and taking classes to hone her technique and it shows. She is wildly talented and I am constantly complimented on my color. Her cuts are obviously fantastic too!  

I have had cancer for about 8.5 years and while I never fully lost my hair, at times it was really thin. Kim has always made me feel good about myself at my worst. I can't tell you how many times I have walked in and said ""Kim, I'm a mess. Please fix me."" and I leave feeling like a new person. She has always been warm, funny, and empathetic and is truly one of my favorite people. 

Volume is a great salon and a nice fit for Kim. The whole staff is so nice, talented, and unpretentious. I really respect and appreciate how careful they have been during COVID too. 

I included a few shades of hair color Kim has done for me over the years. Some are natural and some are funky, but they are all beautiful. If you are considering booking with Kim, do it! She will make you feel as gorgeous as you already are!",Positive
3e0bMKsl2QR8wHEwUiz92w,Delicious cheesesteaks although not my absolute fave. Very crowded spot. Mainly a take out spot due to right quarters. Be prepared to wait in line if you come at a busy time.,Neutral
UtPVJQBylEkn58iLHOZNwA,"One of the best meals I've had in Philly! They currently have a prix fixe menu which is well worth the price. We got the Lamb Tzimmes and short ribs, along with matzo soup and chicken liver mousse as appetizers. Our waitress also threw in a full order of complimentary latke fries. Between all this food and the challah rolls, I was beyond stuffed by the end of the meal. The short ribs were a good portion size and came with bread, pickles, and sauces for constructing into a sandwich. The lamb was in the form of a thick stew and the prunes added a really nice flavor.

Overall, very impressed. Good food, good service, and nice, strong heat lamps for outdoor dining!",Positive
N9F3KAZdVSLl98RauXDT5Q,Just like the one's in New York City. I have eaten at the one at Brookfield Place in the financial center many times. This Dig is the same menu and the same high quality. It was packed during lunch. Not surprising as the Brookfield Place Dig is always busy too. This is the best bowl meal in Center City. I'm happy they opened in Philadelphia.,Positive
NfUAhq4Y4jngDn4yQWG7Ig,"Good customer service! Nice place 
Coffee: Rwanda pour over very GOOD 
Espresso: Brazil super smooth
Latte: Gingerbread latte delicious 

A+",Neutral
iEYQoPdzinvw0bXSZGnWdw,Had an excellent evening at Barra Rossa. We participated in their 6 course Halloween themed dinner. Courses were timed perfectly with a drink accompanying each round. All of the staff were friendly and attentive. The food was absolutely decadent. I highly recommend you dine here if you have the chance!,Positive
GVy4GzflC27qkLFVpGjsNg,"I've been to this place probably 5x times 
Absolutely love their food. Its always fresh, quick and delicious. Service is very nice too! We really enjoy it
Highly recommended",Positive
twNFBzJoR08MLScgVMO8rA,"I ordered from Uber eats and specifically said in the comments if your Shrimp Fried Rice has egg; NO EGG due to an allergy. I received my order and the fried rice had egg. I called the establishment directly and with a lack of customer service I was told to 
come in the store. If it was that simple I wouldn't have ordered from Uber Eats; I live in another section of the city and was curious about this establishment. I was then told by the establishment that made the error to contact Uber Eats. Not sure how contacting the third party online was going to satisfy my hunger, but it was obvious they could care less about a dissatisfied new customer. I contacted Uber Eats online and gave the food I couldn't eat to someone else. I have also deleted this establishment from my bookmarks and not inclined to visit in person. Very negative first impression based on the response to their error. 
DISSATISFIED!!",Negative
5rIntHq-3h0-XNiWMevKGQ,"The office was very clean and efficient. I did not have to wait too long after my scheduled appointment time.  Everyone was nice, addressed my concerns and offered options. I really loved Dr Meltzer, demeanor and patient approach. I have already recommended him to several coworkers",Positive
8t7sUEXgxdqpDz62tHN3_g,"What is going on here? There is some kind of disconnect between the online ordering system and the restaurant itself. When I ordered, I got a message that my food would be ready at 6pm. It's now 6:30, and I'm still waiting for my food, along with 15 other frustrated patrons. A woman just asked when her order would be ready and they said ""We don't know."" This is ridiculous.",Negative
UajXrlqaQgSGfPmuw1gyOA,"We made mobile orders at this shake shack. They were always ready by the time stated it will be ready on the app. The employees were courteous and quick. The food was still hot. However the second time which was the next day, it was past rush-hour and the food got a bit cold. The mushroom burger wasn't as good since the cheese kinda solidified and wasn't melted like the first time I ordered there. I would still go back for another burger.",Negative
_KNEONb5O1zIf_AuWUg9Zg,"This was the first Christmas Eve I got scungilli salad and calamari salad from Anastasia's.  Wow, what a disappointment.  First, they charged me a 2.5% upcharge for using a credit card (which they failed to tell me when I called for information).  When I opened the scungilli salad I was hit with an odor of raw onions.  Now, I have never seen raw onions in a scungilli salad  ($35/lb) and this one was FULL of onions.  Then I opened the calamari salad ($25/lb) .  They had 6 mini tomatoes in the small 1lb container which was just put in to give you less seafood.  
I usually buy my salads at DiBruno's, which by the way have mini shrimp and mussels in them.  I'm so sorry I didn't.   DiBruno's definitely worth the wait in line and I found out later....they were cheaper.",Positive
_cUKmTNn2KiI6Gvn0ao4gw,"I had never been here and have lived in the neighborhood for a while, so I finally tried it out this week. The seating set up is great. Indoor seating is distanced throughout the restaurant and then outdoor seating was distanced with some covered and other seats uncovered. The drink menu was good with lots of options and they also serve food till 8:30-8:45. They had lots of options and a touch-less ordering system. We got a pizza and it was fine. It's a cute place and I think I'll return but next time just for the atmosphere, great service and drinks.",Neutral
9wD_wDtiXEftHFfuGr7YPg,"Had their seasonal peppermint mocha and it was delicious! Very inviting interior, can't wait to be able to sit inside.",Positive
GMfqZzDXL8Viyd8G8I6LLw,Went to pick someone up at the airport. It is clear that only morons  could have designed the way ALL the cars have to pass ALL the passenger pickup areas at ALL the terminals and wait for ALL the people. It took more time to get out of airport as it took to reach the passenger. Must have been designed for traffic volume in the '50s. The cell phone lot was full on a Sat afternoon.,Negative
75gtxaxm-8YT_XqnVh1PUQ,"I can't believe my last review was 2015, back when they only made 40 pies a day.. now there's a newly transformed space that is covid-friendly for the times (pexi glass between tables, spaced and follow social distancing, masks on all staff, and contactless ordering system via QR code)

For a party of 4 that ordered 2 pies, tomato pie, roasted veggies, 2 desserts and 2 rounds of alcohol our bill including tip came to about $190. 

Our friends ordered the pie and added anchovies, they loved their pie. We ordered the roasted potato pie and it was delicious. The olives were nice and salty and added a lot of flavor and texture to the pie, great crust too. We enjoyed everything we ordered, including the soft serve ice cream and service was great. 

Overall, I would recommend Beddia, it's worth a visit but personally for me it's a once in a while rotation as the prices are a bit steeper than the many great pizza establishments that Philly has to offer. But it's a great treat and place to bring guests!",Positive
